,Open,Close,Time,High,Low
62,374.58,374.5,2014-06-06T09:28:00+0530,374.59,374.44
63,373.8,374.29,2014-06-09T09:28:00+0530,374.38,373.8
64,376.1,376.08,2014-06-10T09:28:00+0530,376.21,376.08
65,395.94,397,2014-06-11T09:28:00+0530,397.5,395.94
66,403.37,403.05,2014-06-12T09:28:00+0530,403.37,402.88
67,392.65,392.89,2014-06-13T09:28:00+0530,392.89,392.5
68,403.63,403.13,2014-06-16T09:28:00+0530,403.63,402.93
69,407.68,407.5,2014-06-17T09:28:00+0530,407.68,407.49
70,407.38,407.33,2014-06-18T09:28:00+0530,407.5,407.06
71,411.32,411.94,2014-06-19T09:28:00+0530,412.05,411.32
72,414.08,413.89,2014-06-20T09:28:00+0530,414.08,413.88
73,409.82,409.87,2014-06-23T09:28:00+0530,410.07,409.77
74,401.72,401.67,2014-06-24T09:28:00+0530,401.94,401.63
75,403.49,403.93,2014-06-25T09:28:00+0530,403.93,403.31
76,402.48,402.13,2014-06-26T09:28:00+0530,402.48,401.88
77,400.54,400.57,2014-06-27T09:28:00+0530,400.63,400.27
78,406.62,406.69,2014-06-30T09:28:00+0530,406.88,406.46
79,404.83,405.63,2014-07-01T09:28:00+0530,405.63,404.14
80,404.07,404,2014-07-02T09:28:00+0530,404.25,403.87
81,402.99,402.74,2014-07-03T09:28:00+0530,403.1,402.54
82,402.89,402.27,2014-07-04T09:28:00+0530,402.94,402.27
83,412.23,412.37,2014-07-07T09:28:00+0530,412.4,412
84,416.57,416.63,2014-07-08T09:28:00+0530,416.98,416.26
85,420.26,420.16,2014-07-09T09:28:00+0530,420.27,420.01
86,414.4,414.34,2014-07-10T09:28:00+0530,414.57,414.33
87,422.36,422.49,2014-07-11T09:28:00+0530,422.5,422.13
88,401.3,401.8,2014-07-14T09:28:00+0530,401.82,401.25
89,404.96,404.65,2014-07-15T09:28:00+0530,405.07,404.52
90,404.99,404.49,2014-07-16T09:28:00+0530,405.23,403.75
91,410.22,411.22,2014-07-17T09:28:00+0530,411.5,410.04
92,408.35,408.11,2014-07-18T09:28:00+0530,408.38,407.95
93,408.28,408.62,2014-07-21T09:28:00+0530,408.63,408.25
94,401.95,401.69,2014-07-22T09:28:00+0530,401.97,401.64
