,Time,Open,High,Low,Close,Volume
1679,2016-09-27,801.85,816.64,801.11,816.11,3819600
1680,2016-09-28,818,830.14,817.0337,828.72,4422078
1681,2016-09-29,828.26,837.5,824.63,829.05,4922248
1682,2016-09-30,832.61,839.95,832.4,837.31,4430566
1683,2016-10-03,836,839.86,831.25,836.74,2769448
1684,2016-10-04,840.91,842.365,830.26,834.03,2950314
1685,2016-10-05,838,845.67,836.12,844.36,3469055
1686,2016-10-06,843.7,847.21,840.6,841.66,2684013
1687,2016-10-07,845.79,845.95,837.45,839.43,2426228
1688,2016-10-10,843.25,845.2,840.27,841.71,1827143
1689,2016-10-11,841.02,841.29,828.35,831,3588180
1690,2016-10-12,834,837.666,830.1,834.09,2380416
1691,2016-10-13,829,831.8,821.21,829.28,3091387
1692,2016-10-14,835.08,835.74,822.96,822.96,2999814
1693,2016-10-17,821.5,822,811.68,812.95,3361492
1694,2016-10-18,822.11,823.26,815.02,817.65,2512504
1695,2016-10-19,820.4,820.67,815.17,817.69,2090706
1696,2016-10-20,813.99,815.71,803.1,810.32,3151954
1697,2016-10-21,809.36,819.42,809,818.99,2793015
1698,2016-10-24,824.95,838.3,822.21,838.09,4060899
1699,2016-10-25,839.3,843.09,833.22,835.18,3248358
1700,2016-10-26,832.76,833.44,820,822.59,3998102
1701,2016-10-27,831.24,831.72,815.43,818.36,7406385
1702,2016-10-28,782,789.49,774.61,776.32,10841073
1703,2016-10-31,781.03,793.7,780.11,789.82,5413326
1704,2016-11-01,799,800.84,776.7130000000001,785.41,5305428
1705,2016-11-02,783.93,784.75,763.55,765.56,5026504
1706,2016-11-03,765.05,777,764,767.03,3872496
1707,2016-11-04,762.79,766,753.2301,755.05,5122103
1708,2016-11-07,771.64,787.732,770.94,784.93,5984354
1709,2016-11-08,784.97,791.7399,779.1,787.75,3412629
1710,2016-11-09,764,777.5,760.09,771.88,8562892
1711,2016-11-10,778.81,778.83,717.7,742.38,12746994
1712,2016-11-11,735.73,743.26,728.9,739.01,6622784
1713,2016-11-14,745.51,746,710.1,719.07,7321344
1714,2016-11-15,730,746.78,725.99,743.24,6755785
1715,2016-11-16,718,749.87,735.61,746.49,3648791
1716,2016-11-17,749.32,757.5,748,756.4,3690112
1717,2016-11-18,761,767.74,757.6435,760.16,4373408
1718,2016-11-21,766,780.35,765.11,780,4614574
1719,2016-11-22,788.17,792.4,781,785.33,5311320
1720,2016-11-23,781.73,781.75,773.12,780.12,3540263
1721,2016-11-25,786.5,786.75,777.9,780.37,1837068
1722,2016-11-28,776.99,777,764.24,766.77,4438828
1723,2016-11-29,768,769.89,761.32,762.52,3272344
1724,2016-11-30,762,768.09,750.25,750.57,4625946
1725,2016-12-01,752.41,753.37,738.03,743.65,4665993
1726,2016-12-02,743.4,748.4903,736.7,740.34,3561307
1727,2016-12-05,745,761.49,742,759.36,4314723
1728,2016-12-06,763.99,768.24,757.25,764.72,3794746
1729,2016-12-07,764.55,770.42,755.82,770.42,3684906
1730,2016-12-08,771.87,773.79,765.19,767.33,3189608
1731,2016-12-09,770,770.25,765.34,768.66,2470923
