,Time,Open,High,Low,Close,Volume,polariti
0,2010-01-04,136.25,136.61,133.14,133.9,7599900,0.3656450000000001
1,2010-01-05,133.43,135.47899999999998,131.81,134.69,8851900,0.5538263157894737
2,2010-01-06,134.6,134.73,131.65,132.25,7178800,0.22084
3,2010-01-07,132.01,132.32,128.8,130.0,11030200,0.25046
4,2010-01-08,130.56,133.68,129.03,133.52,9830500,0.24347
5,2010-01-11,132.62,132.8,129.21,130.308,8779400,0.4042368421052633
6,2010-01-12,128.99,129.82,126.55,127.35,9096300,0.33491
7,2010-01-13,127.9021,129.71,125.75,129.11,10723200,0.22940500000000005
8,2010-01-14,129.14,130.38,126.4,127.35,9774900,0.29167000000000004
9,2010-01-15,129.18,129.65,127.06,127.14,15376500,0.3562850000000001
10,2010-01-19,126.2,128.0,124.33,127.61,8892600,0.32644
11,2010-01-20,127.13,129.2,125.08,125.78,9074700,0.33964736842105264
12,2010-01-21,127.26,128.15,125.0,126.62,9970600,0.17604500000000006
13,2010-01-22,125.6,127.67,120.76,121.43,11568900,0.21454500000000004
14,2010-01-25,122.1,122.28,118.12,120.31,12023900,0.10124210526315787
15,2010-01-26,120.56,122.98,119.061,119.48,9559000,0.3400789473684211
16,2010-01-27,121.03,123.33,118.8,122.75,14765300,0.26716500000000004
17,2010-01-28,124.43,127.2,122.8,126.03,27293100,0.40783
18,2010-01-29,129.77,131.8499,124.14,125.41,29471300,0.18705500000000005
19,2010-02-01,123.18,124.86,113.82,118.87,37774400,0.18677500000000005
20,2010-02-02,118.79,118.98,114.4,118.12,23079700,0.32145789473684205
21,2010-02-03,117.12,119.61,116.56,119.1,12405900,0.26877500000000004
22,2010-02-04,118.64,120.33,115.74,115.94,12784000,0.205465
23,2010-02-05,115.88,117.65,114.1,117.39,11024800,0.29798
24,2010-02-08,119.375,121.0,116.56,116.83,9890200,0.26270000000000004
25,2010-02-09,118.2,119.09,117.0,118.03,9223000,0.29132105263157904
26,2010-02-10,118.0,118.61,116.0,117.36,6233200,0.4227277777777777
27,2010-02-11,117.21,120.4201,116.5,120.09,8343500,0.16702500000000006
28,2010-02-12,118.99,119.94,117.5,119.66,8073500,0.08701999999999996
29,2010-02-16,120.06,120.5,117.18,117.53,8932700,0.2979157894736843
30,2010-02-17,117.075,117.13,115.55,116.31,8944800,0.4460555555555555
31,2010-02-18,115.8386,118.51,114.82,118.08,9800100,0.15869000000000005
32,2010-02-19,117.91,119.09,117.0,117.52,7115600,0.1777055555555556
33,2010-02-22,117.37,118.97,116.18,118.01,6807300,0.21844736842105264
34,2010-02-23,118.01,119.25,116.51,117.24,7068200,0.34718000000000004
35,2010-02-24,117.96,119.8,117.15,119.72,7389900,0.2703736842105264
36,2010-02-25,118.17,118.34,115.85,118.2,9533400,0.10299500000000006
37,2010-02-26,117.88,119.43,117.0,118.4,5721600,0.29931500000000005
38,2010-03-01,118.85,124.66,117.53,124.54,13296500,0.1880263157894737
39,2010-03-02,125.01,127.35,124.8,125.53,12097500,0.344955
40,2010-03-03,125.4,126.94,124.43,125.89,6440400,0.226005
41,2010-03-04,125.96,128.85,125.57,128.53,7509700,0.3087150000000001
42,2010-03-05,129.13,129.45,127.07,128.91,6769300,0.26179
43,2010-03-08,128.3,130.85,127.71,130.11,5605900,0.2809050000000001
44,2010-03-09,129.59,130.81,127.97,128.82,6070800,0.20193500000000006
45,2010-03-10,129.11,131.17,128.48,130.51,5625700,0.23509499999999997
46,2010-03-11,130.45,133.62,130.36,133.58,7240800,0.20361500000000005
47,2010-03-12,134.2,134.2,131.18,131.82,6150800,0.24588947368421055
48,2010-03-15,131.7,132.0,128.63,131.13,6329200,0.25299000000000005
49,2010-03-16,131.24,132.29,130.5,131.79,4132500,0.2392
